feature,reg_importance,clf_importance,avg_importance
Disintegration_Time_delta,0.006467248211324679,0.4077929396520268,0.20713009393167572
Compression_Force_kN_mean_delta,0.3338946823309736,0.036640128797551526,0.18526740556426255
Humidity_Percent_min_delta,0.27303839047275935,0.00010041693496576821,0.13656940370386256
Tablet_Weight_delta,0.19031685435319162,0.00048509506983166546,0.09540097471151164
Humidity_Percent_max_roll_std,0.004701553920585156,0.14669739892095726,0.07569947642077121
n_oor_roll_mean,0.008808576922801051,0.06463041599123057,0.03671949645701581
Flow_Rate_LPM_std_roll_mean,0.0005761262437031468,0.04951418588192207,0.025045156062812608
Friability_delta,0.04048049497872447,0.00028258376868309216,0.02038153937370378
Flow_Rate_LPM_std_delta,0.00535998501317692,0.03497710987073706,0.02016854744195699
Pressure_Bar_mean_delta,0.038881046419431894,0.00044017368499471967,0.01966061005221331
Flow_Rate_LPM_std_roll_std,0.004454911036180608,0.028556021154771884,0.016505466095476245
total_energy_kwh_roll_std,0.004727977530451443,0.02226013824961303,0.013494057890032236
Dissolution_Rate_roll_mean,0.0012048753324204302,0.023043680464992358,0.012124277898706393
Pressure_Bar_std_roll_mean,0.0008177628674194963,0.02036002744141173,0.010588895154415613
Moisture_Content_roll_mean,3.692710057791524e-06,0.01863850599117463,0.00932109935061621
Flow_Rate_LPM_mean_roll_std,0.003243675415969682,0.013826078328170966,0.008534876872070324
Humidity_Percent_min_roll_mean,0.011591896978678668,0.004688329906051844,0.008140113442365256
Humidity_Percent_std_roll_mean,0.0021970515440294554,0.012370808933349535,0.007283930238689495
Content_Uniformity_delta,0.0032085207219917844,0.01026336209320287,0.006735941407597328
Pressure_Bar_mean_roll_std,0.00040938353885718276,0.011909560209638797,0.00615947187424799
Humidity_Percent_min_roll_std,0.0008197522461993742,0.010740395866881252,0.005780074056540314
Compression_Force_delta,0.007067460996972602,0.0022481032990205076,0.004657782147996555
Disintegration_Time_roll_std,0.004061179214479831,0.004834098407578151,0.004447638811028991
Moisture_Content_roll_std,4.955585846880724e-06,0.008781848081703245,0.004393401833775063
Dissolution_Rate_delta,0.0012341255072289268,0.006759843903068824,0.003996984705148875
Content_Uniformity_roll_mean,0.0032680120382087598,0.004630645575008527,0.003949328806608643
Humidity_Percent_max_roll_mean,0.0007501664728769934,0.0069537367938278995,0.0038519516333524466
Compression_Force_roll_mean,0.0002932583572944616,0.006890497850936277,0.0035918781041153693
Compression_Force_kN_mean_roll_std,0.00606049637812746,8.390765316367203e-05,0.003072202015645566
dev_roll_mean,0.0011647701183379658,0.0040595500642503805,0.0026121600912941733
Hardness_roll_std,9.34968073459054e-05,0.004939844208646639,0.002516670507996272
Humidity_Percent_max_delta,0.003641002726754866,0.0008896470213627961,0.002265324874058831
Moisture_Content_delta,0.00024153037603583458,0.004261727620818285,0.0022516289984270597
Compression_Force_kN_std_roll_mean,0.003741033571465575,0.0002427327793072676,0.0019918831753864214
total_energy_kwh_delta,0.003776117182345413,0.00014365083640362176,0.0019598840093745175
Drying_Temp_roll_mean,0.0012330886762188888,0.002467308975454597,0.001850198825836743
Compression_Force_kN_mean_roll_mean,0.0034774783133123092,2.3573785538005506e-05,0.0017505260494251574
Pressure_Bar_mean_roll_mean,7.549285295858618e-05,0.0033620453271176664,0.0017187690900381262
Friability_roll_std,0.0028368870061595683,0.0005612425426344759,0.0016990647743970221
Flow_Rate_LPM_mean_delta,0.00036492734556554804,0.0030091880923290787,0.0016870577189473134
Lubricant_Conc_roll_mean,0.00325104147604946,6.819766922026861e-05,0.0016596195726348642
dev_roll_std,0.002389437228337573,0.0008530427363573173,0.0016212399823474452
Compression_Force_kN_max_roll_mean,0.0002175035827276922,0.002373929971431502,0.001295716777079597
Hardness_roll_mean,9.223853292164246e-05,0.002399464892676188,0.0012458517127989152
Machine_Speed_roll_mean,0.002217825591651019,0.0001928197313816079,0.0012053226615163135
Compression_Force_kN_max_delta,4.5398071613120444e-05,0.0020235744195619054,0.0010344862455875128
Pressure_Bar_std_roll_std,0.0015264646473912222,0.00020909716033584938,0.0008677809038635357
Tablet_Weight_roll_mean,0.0017129236721139195,6.74945740351838e-08,0.0008564955833439774
Compression_Force_kN_std_roll_std,0.0016420719542145253,7.081002901855048e-05,0.0008564409916165379
Dissolution_Rate_roll_std,0.0009290395382249064,0.0007719084306686842,0.0008504739844467953
Friability_roll_mean,6.758989173586242e-05,0.001592841913538246,0.0008302159026370542
Compression_Force_kN_std_delta,8.491764620152588e-06,0.0015628823495713474,0.00078568705709575
Compression_Force_kN_max_roll_std,0.0015092408773738273,7.897523316282973e-07,0.0007550153148527278
total_energy_kwh_roll_mean,0.00018826557971995657,0.001168819073611183,0.0006785423266655699
Machine_Speed_roll_std,0.001207370712629843,1.233609806603027e-06,0.000604302161218223
Pressure_Bar_std_delta,0.0005958203856825128,0.0005510900283902978,0.0005734552070364052
Drying_Temp_roll_std,0.0010576125726571347,5.650767051169037e-05,0.0005570601215844125
Binder_Amount_delta,0.000902651687660031,0.0001548225096939349,0.000528737098676983
Humidity_Percent_std_roll_std,0.00032144364754292784,0.0004910088875386408,0.0004062262675407843
Content_Uniformity_roll_std,0.00064132650126285,5.334394774232362e-07,0.00032092997037013664
Granulation_Time_delta,2.3280187181729433e-06,0.000584492915084817,0.000293410466901495
Flow_Rate_LPM_mean_roll_mean,5.216905502567762e-05,0.00030229699935336733,0.00017723302718952247
Drying_Time_delta,2.416074526381169e-06,0.00031606388715212287,0.000159239980839252
Lubricant_Conc_delta,0.00015319270276351014,0.00014121118881738195,0.00014720194579044603
Humidity_Percent_std_delta,0.0002513587974581001,8.994915113406645e-06,0.00013017685628575337
Hardness_delta,1.5597741445702619e-06,0.00025693579861509416,0.00012924778637983221
Binder_Amount_roll_std,4.7782408372825936e-05,0.0001788500759989924,0.00011331624218590917
Machine_Speed_delta,0.0,0.00015981457326672168,7.990728663336084e-05
Tablet_Weight_roll_std,0.00012383271705620488,1.6473562136222593e-05,7.015313959621373e-05
Lubricant_Conc_roll_std,0.00012816584803699432,6.7589559430782506e-06,6.746240199003628e-05
Drying_Temp_delta,7.737983857355926e-05,5.5251743334953745e-06,4.145250645352732e-05
Granulation_Time_roll_std,2.6494705168887637e-06,6.691142722851103e-05,3.47804488726999e-05
Compression_Force_roll_std,0.0,3.389668981310755e-05,1.6948344906553775e-05
Drying_Time_roll_mean,1.2723368566550841e-05,7.759516786793224e-06,1.0241442676672033e-05
Drying_Time_roll_std,1.897117753128976e-05,6.295524288588083e-08,9.51706638708782e-06
Disintegration_Time_roll_mean,7.453259218155935e-06,7.473501283438617e-06,7.463380250797276e-06
Binder_Amount_roll_mean,3.9128761765355055e-06,2.1193146568323056e-06,3.0160954166839055e-06
Granulation_Time_roll_mean,4.0838072012485607e-07,3.6674914737656253e-07,3.8756493375070927e-07
